concurrency;count;command;date_time;used_mem;cached;buffer;swap
2;13;stop_command;2024-04-14_19-27-04;1979776;3044788;183696;1000444
2;14;load_command;2024-04-14_19-28-06;685828;3765276;183832;1000444
2;14;stop_command;2024-04-14_19-28-38;1966976;3044916;183948;1000444
2;15;stop_command;2024-04-14_19-30-12;1967568;3044916;184216;1000444
2;16;stop_command;2024-04-14_19-31-46;1969784;3045044;184452;1000444
2;17;stop_command;2024-04-14_19-33-19;1970976;3045044;184664;1000444
2;18;load_command;2024-04-14_19-34-22;684856;3438028;184788;1000444
2;18;stop_command;2024-04-14_19-34-54;1975692;3045044;184948;1000444
2;19;stop_command;2024-04-14_19-36-28;1967624;3045044;185232;1000444
2;20;stop_command;2024-04-14_19-38-01;1984344;3045044;185484;1000444
2;21;stop_command;2024-04-14_19-39-35;1976340;3045044;185756;1000444
2;22;stop_command;2024-04-14_19-41-09;1971804;3045044;185936;1000444
2;23;stop_command;2024-04-14_19-42-42;1968752;3045044;186168;1000444
2;24;stop_command;2024-04-14_19-44-16;1967056;3045044;186356;1000444
2;25;stop_command;2024-04-14_19-45-50;1983692;3045108;186600;1000444
2;26;stop_command;2024-04-14_19-47-23;1960052;3045236;186848;1000444
2;27;stop_command;2024-04-14_19-48-57;1968100;3045236;187056;1000444
2;28;stop_command;2024-04-14_19-50-31;1972668;3045364;187280;1000444
2;29;stop_command;2024-04-14_19-52-04;1976680;3045364;187540;1000444
2;30;stop_command;2024-04-14_19-53-38;1973348;3045364;187808;1000444
2;31;stop_command;2024-04-14_19-55-12;1965660;3045364;188064;1000444
2;32;stop_command;2024-04-14_19-56-45;1980796;3045492;188344;1000444
2;33;stop_command;2024-04-14_19-58-19;1981120;3045492;188612;1000444
2;34;load_command;2024-04-14_19-59-21;694052;3425864;188744;1000444
2;34;stop_command;2024-04-14_19-59-54;1973200;3045620;188852;1000444
2;35;stop_command;2024-04-14_20-01-27;1963988;3045620;189092;1000444
2;36;stop_command;2024-04-14_20-03-01;1961868;3045620;189396;1000444
2;37;stop_command;2024-04-14_20-04-34;1977332;3045748;189680;1000444
2;38;stop_command;2024-04-14_20-06-08;1977848;3045748;189912;1000444
2;39;stop_command;2024-04-14_20-07-42;1970400;3045752;190196;1000444
2;40;stop_command;2024-04-14_20-09-15;1967564;3045752;190436;1000444
2;41;load_command;2024-04-14_20-10-18;684944;3299556;190548;1000444
2;41;stop_command;2024-04-14_20-10-50;1966080;3045752;190692;1000444
2;42;stop_command;2024-04-14_20-12-24;1979652;3045880;190932;1000444
2;43;stop_command;2024-04-14_20-13-58;1974948;3045880;191188;1000444
2;44;load_command;2024-04-14_20-15-00;718600;3942260;191312;1000444
2;44;stop_command;2024-04-14_20-15-32;1975760;3045880;191464;1000444
2;45;stop_command;2024-04-14_20-17-06;1965244;3045880;191724;1000444
2;46;stop_command;2024-04-14_20-18-40;1968636;3045880;191972;1000444
2;47;stop_command;2024-04-14_20-20-13;1967004;3046012;192200;1000444
2;48;stop_command;2024-04-14_20-21-47;1974392;3046012;192476;1000444
2;49;stop_command;2024-04-14_20-23-21;1963280;3046012;192728;1000444
2;50;load_command;2024-04-14_20-24-23;722348;3930700;192832;1000444
2;50;stop_command;2024-04-14_20-24-55;1965900;3046492;192936;1000444
2;51;stop_command;2024-04-14_20-26-29;1985884;3046620;193036;1000444
2;52;stop_command;2024-04-14_20-28-03;1970080;3046752;193136;1000444
2;53;stop_command;2024-04-14_20-29-36;1977432;3046752;193252;1000444
2;54;stop_command;2024-04-14_20-31-10;1981932;3046752;193468;1000444
2;55;stop_command;2024-04-14_20-32-43;1984344;3046752;193664;1000444
2;56;load_command;2024-04-14_20-33-46;716780;3937084;193764;1000444
2;56;stop_command;2024-04-14_20-34-18;1979148;3046872;193920;1000444
2;57;stop_command;2024-04-14_20-35-52;1975452;3047000;194144;1000444
2;58;stop_command;2024-04-14_20-37-25;1980308;3047128;194344;1000444
2;59;load_command;2024-04-14_20-38-28;688184;3777776;194428;1000444
2;59;stop_command;2024-04-14_20-39-00;1975292;3047132;194560;1000444
2;60;stop_command;2024-04-14_20-40-34;1971996;3047132;194788;1000444
2;61;stop_command;2024-04-14_20-42-07;1971564;3047132;195000;1000444
2;62;stop_command;2024-04-14_20-43-41;1967028;3047260;195204;1000444
2;63;stop_command;2024-04-14_20-45-15;1978460;3047260;195440;1000444
2;64;stop_command;2024-04-14_20-46-48;1964948;3047388;195652;1000444
2;65;stop_command;2024-04-14_20-48-22;1976044;3047388;195892;1000444
2;66;stop_command;2024-04-14_20-49-56;1976608;3047388;196112;1000444
2;67;stop_command;2024-04-14_20-51-29;1980552;3047388;196300;1000444
2;68;stop_command;2024-04-14_20-53-03;1976376;3047388;196516;1000444
2;69;load_command;2024-04-14_20-54-05;692880;3215472;196604;1000444
2;69;stop_command;2024-04-14_20-54-38;1977128;3047516;196716;1000444
2;70;stop_command;2024-04-14_20-56-11;1966528;3047516;196912;1000444
2;71;stop_command;2024-04-14_20-57-45;1966624;3047516;197116;1000444
2;72;stop_command;2024-04-14_20-59-19;1973280;3047516;197336;1000444
2;73;stop_command;2024-04-14_21-00-52;1970680;3047516;197544;1000444
2;74;stop_command;2024-04-14_21-02-26;1972152;3047644;197788;1000444
2;75;load_command;2024-04-14_21-03-28;686904;3391020;197900;1000444
2;75;stop_command;2024-04-14_21-04-01;1983508;3047644;198000;1000444
2;76;stop_command;2024-04-14_21-05-34;1970816;3047644;198220;1000444
2;77;stop_command;2024-04-14_21-07-08;1961012;3047644;198440;1000444
2;78;stop_command;2024-04-14_21-08-42;1967732;3047644;198652;1000444
2;79;stop_command;2024-04-14_21-10-15;1966624;3047772;198848;1000444
2;80;stop_command;2024-04-14_21-11-49;1969748;3047772;199040;1000444
2;81;stop_command;2024-04-14_21-13-23;1972956;3047900;199272;1000444
2;82;stop_command;2024-04-14_21-14-56;1979924;3047900;199484;1000444
2;83;stop_command;2024-04-14_21-16-30;1963776;3047900;199692;1000444
