concurrency,count,load_time,instantiate_time,stop_time,container_removal_time,image_removal_time,display_date
1,36,11776940339,153473765,1387413140,36474924,463727134,2024-04-15 15:43:06
1,37,11278911076,148741559,1451742272,36733280,466000295,2024-04-15 15:44:51
1,38,11790254161,161891696,1398614566,40362271,502266644,2024-04-15 15:46:36
1,39,12018749423,141788524,2017222462,37810103,467073301,2024-04-15 15:48:21
1,40,11224232749,139947343,1405601776,37269118,508018456,2024-04-15 15:50:06
1,41,12005975983,170063868,1340822266,45041093,464971673,2024-04-15 15:51:51
1,42,12087129541,169948115,1972228123,37929152,507983962,2024-04-15 15:53:35
1,43,10873882250,142932919,1423889046,38837558,463226482,2024-04-15 15:55:19
1,44,12022184739,158476283,1378368065,36788214,480050544,2024-04-15 15:57:04
1,45,11683655000,144561569,1403901449,54379838,463229057,2024-04-15 15:58:49
1,46,11202958029,156945021,1412465471,41064465,463670315,2024-04-15 16:00:34
1,47,11786198515,156608791,1354030418,36794927,480766152,2024-04-15 16:02:19
1,48,11810204795,148697262,1366423515,35440270,467536653,2024-04-15 16:04:03
1,49,10941924649,143815564,1976282340,42146671,464921990,2024-04-15 16:05:47
1,50,12077325836,169589327,2070891124,40875867,465033687,2024-04-15 16:07:32
1,51,12176124067,144124394,2087577545,39498141,464007530,2024-04-15 16:09:17
1,52,11068565002,133985222,1947248828,37166320,470041859,2024-04-15 16:11:01
1,53,11895662822,162435004,1598360386,50844889,461686880,2024-04-15 16:12:46
1,54,12208492955,164707891,2006931699,48171726,515060289,2024-04-15 16:14:31
1,55,11111909114,156835579,1997900247,35619307,461938668,2024-04-15 16:16:14
1,56,12125636606,149988577,2119759463,35699137,463608606,2024-04-15 16:17:59
1,57,11461041551,138590608,1388133729,36668895,481323052,2024-04-15 16:19:44
1,58,11146551376,151971881,1425835824,48638786,462893221,2024-04-15 16:21:29
1,59,12197899930,156878831,1983873588,37087569,510016896,2024-04-15 16:23:14
1,60,11053738693,145269205,1844382484,37500302,503034071,2024-04-15 16:24:58
1,61,10995297184,158937607,2007232824,39418023,464867827,2024-04-15 16:26:42
1,62,12025344309,153563039,1422870795,37149576,475422855,2024-04-15 16:28:27
1,63,11979610442,156556431,1358734177,35409903,464611845,2024-04-15 16:30:11
1,64,12200882249,156296413,1985176131,35954875,506599319,2024-04-15 16:31:56
1,65,11779533601,158248871,1375527312,44591514,461669195,2024-04-15 16:33:41
1,66,11979506821,158181225,1474389279,45435138,514294267,2024-04-15 16:35:26
1,67,11181226177,175737369,1408717130,36513937,464829807,2024-04-15 16:37:11
1,68,12211379114,143578614,2163449938,40496812,469616038,2024-04-15 16:38:56
1,69,11943745639,138076898,1363239040,40305218,509211963,2024-04-15 16:40:41
1,70,10908461393,145008319,1482370813,36511022,468065552,2024-04-15 16:42:25
1,71,11953731282,172558734,1388963598,46556249,479616364,2024-04-15 16:44:10
1,72,11875914841,153527901,1368152292,36131783,507072131,2024-04-15 16:45:54
1,73,10851294006,145962583,1801895607,37403559,466399475,2024-04-15 16:47:38
1,74,12138621923,150964595,1921971361,36303336,464381233,2024-04-15 16:49:23
1,75,11959866011,151590275,1377120608,40224367,507484227,2024-04-15 16:51:08
1,76,10857731934,150145513,1809438424,50278312,499981948,2024-04-15 16:52:51
1,77,11916316150,168019874,1861014232,36697612,468894942,2024-04-15 16:54:36
1,78,11919833142,153206540,1340955133,38014663,464061150,2024-04-15 16:56:21
1,79,11105474524,152782499,1949796962,39944979,465691671,2024-04-15 16:58:05
1,80,11937778894,157633592,1380885988,36431268,464030783,2024-04-15 16:59:50
1,81,12197937954,143763857,1996599638,40861171,469546692,2024-04-15 17:01:35
1,82,10957924748,178134920,1899443328,39008019,468016246,2024-04-15 17:03:19
1,83,11569020956,147888976,1415498966,38900278,517572107,2024-04-15 17:05:03
1,84,12058374303,158614499,2064271273,37338269,464437905,2024-04-15 17:06:48
