concurrency,count,command,Mean [CPU]Totl% excluding 0%,Mean [MEM]Used,sum(Disk Read + Write KB)
1,66,load,17.383838383838384,5479301.619335348,20026.0
1,67,load,16.707581227436823,5467890.80385852,34400.0
1,68,load,16.534965034965033,5476026.4,21000.0
1,69,load,16.751748251748253,5473051.305993691,22000.0
1,70,load,16.922509225092252,5462703.2467532465,23533.0
1,71,load,16.37979094076655,5477483.743589744,20518.0
1,72,load,17.596491228070175,5472519.732484076,20533.0
1,73,load,16.62372881355932,5477939.031446541,19600.0
1,74,load,16.56382978723404,5469233.873417721,24000.0
1,75,load,17.66211604095563,5469129.55076923,29186.0
1,76,load,17.240875912408757,5476728.239520958,19995.0
1,77,load,17.09556313993174,5469725.055900621,24033.0
1,78,load,16.97142857142857,5452840.616352201,21077.0
1,79,load,17.506944444444443,5445300.4728434505,19400.0
1,80,load,16.82456140350877,5466036.471337579,24954.0
1,81,load,17.249134948096884,5437690.043613707,20000.0
1,82,load,17.44982698961938,5436650.419753087,30079.0
1,83,load,16.71480144404332,5465242.990291262,22800.0
1,84,load,17.04895104895105,5454415.536050157,23200.0
1,85,load,16.882758620689657,5465908.626086957,46666.0
1,86,load,17.501661129568106,5458153.804878049,27033.0
1,87,load,16.061371841155236,5462887.883116883,22300.0
1,88,load,16.774193548387096,5461664.192307692,19633.0
1,89,load,16.58303886925795,5468772.343949044,22334.0
1,90,load,16.96928327645051,5476774.85,22133.0
1,91,load,16.66315789473684,5477123.450479234,33908.0
1,92,load,16.503676470588236,5474487.974025974,22164.0
1,93,load,16.51590106007067,5476772.522292994,35600.0
1,94,load,16.97902097902098,5476866.0125,19400.0
1,95,load,15.944444444444445,5472545.263843648,25633.0
1,96,load,17.0,5485223.811912226,30177.0
1,97,load,16.90357142857143,5477950.5477707,36800.0
1,98,load,17.188552188552187,5473802.991304348,25933.0
1,99,load,16.453237410071942,5489998.420711974,24900.0
1,100,load,16.670289855072465,5491840.463022508,15600.0
2,1,load,17.062717770034844,5482714.347003154,24066.0
2,2,load,16.164285714285715,5501805.782051282,24733.0
2,3,load,17.105839416058394,5511099.987055016,29508.0
2,4,load,17.103092783505154,5516333.459119497,21833.0
2,5,load,16.901060070671377,5505208.745980707,23233.0
2,6,load,16.269784172661872,5526513.8785942495,35733.0
2,7,load,17.03767123287671,5512852.666666667,22800.0
2,8,load,16.79298245614035,5517293.485714286,2078398.0
2,9,load,16.84083044982699,5532188.89456869,26161.0
2,10,load,16.70921985815603,5518544.126984127,23600.0
2,11,load,16.927797833935017,5518089.561904762,24966.0
2,12,load,16.508960573476703,5518778.722044729,1668298.0
2,13,load,15.928057553956835,5516712.508143323,34215.0
2,14,load,17.04861111111111,5519084.062305296,30400.0
2,15,load,17.234265734265733,5525258.211180124,35200.0
2,16,load,17.04270462633452,5526513.466237942,22933.0
2,17,load,16.750889679715304,5535036.58974359,21626.0
2,18,load,17.092150170648463,5542815.07788162,28215.0
2,19,load,16.83859649122807,5539231.608832807,20000.0
2,20,load,16.556363636363635,5560114.274509804,22133.0
2,21,load,17.267175572519083,5531022.435897436,25500.0
2,22,load,16.654804270462634,5553241.110410094,21595.0
2,23,load,16.893103448275863,5551787.347962382,19467.0
2,24,load,17.166666666666668,5554531.923809524,21340.0
2,25,load,16.952029520295202,5569127.96178344,21569.0
2,26,load,17.10763888888889,5560382.292834891,23200.0
2,27,load,17.115264797507788,5564085.25748503,1670000.0
2,28,load,17.336805555555557,5574928.089171975,21333.0
2,29,load,17.080882352941178,5572404.812903225,24000.0
2,30,load,16.738351254480285,5572467.961904762,30833.0
2,31,load,17.05190311418685,5573733.719626168,25333.0
2,32,load,16.62181818181818,5589263.256410256,22300.0
2,33,load,17.18402777777778,5560673.757009346,1255464.0
2,34,load,16.598591549295776,5555624.3936507935,24000.0
2,35,load,17.45692883895131,5549678.417721519,27200.0
2,36,load,16.440140845070424,5546222.687898089,36000.0
2,37,load,16.929577464788732,5564153.349845201,21666.0
2,38,load,17.379537953795378,5563632.87537994,22333.0
2,39,load,16.063197026022305,5572635.562913908,2901231.0
2,40,load,16.795774647887324,5586512.2802547775,23600.0
2,41,load,17.057971014492754,5574544.545454546,25633.0
2,42,load,15.94927536231884,5585334.511326861,23300.0
2,43,load,16.60931899641577,5574951.757575758,839324.0
2,44,load,16.68881118881119,5581342.190769231,34400.0
2,45,load,17.050541516245488,5594737.659163987,33200.0
2,46,load,16.883959044368602,5607367.234567901,25333.0
2,47,load,17.792899408284022,5604383.519553073,29887.0
2,48,load,17.06737588652482,5612225.504823151,20000.0
2,49,load,17.27433628318584,5610046.08988764,1669597.0
2,50,load,16.26909090909091,5622075.333333333,22133.0
2,51,load,16.912408759124087,5610222.8317460315,23800.0
2,52,load,17.017605633802816,5607972.241269841,2079263.0
2,53,load,16.641843971631207,5610230.230529595,33567.0
2,54,load,17.11660777385159,5626628.794871795,22800.0
2,55,load,17.239583333333332,5588821.949044586,21833.0
2,56,load,16.5,5591502.082539682,25633.0
2,57,load,17.017182130584192,5613695.416413374,25633.0
2,58,load,17.685430463576157,5610359.519519519,28733.0
2,59,load,17.718861209964412,5585348.9908256885,25333.0
2,60,load,16.644128113879002,5601605.9053627765,26008.0
2,61,load,17.345070422535212,5622373.981072555,22700.0
2,62,load,16.567272727272726,5613500.273615635,30561.0
2,63,load,16.785714285714285,5614970.696485623,20400.0
2,64,load,16.699646643109542,5616297.714285715,28433.0
2,65,load,16.665467625899282,5624087.225806451,23600.0
2,66,load,15.974820143884893,5628787.173770492,21833.0
2,67,load,16.96853146853147,5615091.706070287,21667.0
2,68,load,17.014440433212997,5639288.951140065,21633.0
2,69,load,17.046594982078854,5633626.641509434,23200.0
2,70,load,17.02076124567474,5630809.287925697,24400.0
2,71,load,16.802816901408452,5635225.766233766,29500.0
2,72,load,16.695340501792113,5646837.734177215,27666.0
2,73,load,16.71527777777778,5626393.6625,20400.0
2,74,load,17.013840830449826,5661939.536050157,22233.0
2,75,load,16.641114982578397,5649866.817610063,28800.0
2,76,load,17.05574912891986,5648367.111111111,18210.0
